School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2012 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Total ,Total ,A1 ,149 ,0 ,0 ,6 ,155 ,149 ,192 ,190 ,191.0 ,78.0 ,"A,E "
2011 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Total ,Total ,A1 ,181 ,0 ,1 ,3 ,185 ,181 ,243 ,231 ,237.0 ,76.4 ,"A,E "
2010 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Total ,Total ,A1 ,167 ,0 ,1 ,5 ,173 ,167 ,245 ,237 ,241.0 ,69.3 ,"A,E "
2009 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Total ,Total ,A1 ,184 ,0 ,2 ,9 ,195 ,184 ,240 ,239 ,239.5 ,76.8 ,"A,E "
2008 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Total ,Total ,A1 ,161 ,0 ,4 ,8 ,173 ,161 ,241 ,225 ,233.0 ,69.1 ,"A,E "
2012 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Female ,Total ,A1 ,83 ,0 ,0 ,2 ,85 ,83 ,107 ,106 ,106.5 ,77.9 ,"A,E "
2011 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Female ,Total ,A1 ,97 ,0 ,1 ,1 ,99 ,97 ,120 ,112 ,116.0 ,83.6 ,"A,E "
2010 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Female ,Total ,A1 ,81 ,0 ,0 ,3 ,84 ,81 ,124 ,104 ,114.0 ,71.1 ,"A,E "
2009 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Female ,Total ,A1 ,95 ,0 ,0 ,4 ,99 ,95 ,118 ,116 ,117.0 ,81.2 ,"A,E "
2008 ,001 ,001 ,  ,Adair County ,DISTRICT TOTAL ,Female ,Total ,A1 ,76 ,0 ,1 ,5 ,82 ,76 ,111 ,102 ,106.5 ,71.4 ,"A,E "
