ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): Kentucky; Agency Type [District] (All Years): 1-Local school district

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2010-11,County Name [District] 2009-10,County Name [District] 2008-09,County Name [District] 2007-08,County Name [District] 2006-07,County Name [District] 2005-06,County Name [District] 2004-05,County Name [District] 2003-04,County Name [District] 2002-03,County Name [District] 2001-02,County Name [District] 2000-01,County Name [District] 1999-00,County Name [District] 1998-99,County Name [District] 1997-98,County Name [District] 1996-97,County Name [District] 1995-96,County Name [District] 1994-95,County Name [District] 1993-94,County Name [District] 1992-93,County Name [District] 1991-92,County Name [District] 1990-91,County Name [District] 1989-90,County Name [District] 1988-89,County Name [District] 1987-88,County Name [District] 1986-87,County Number [District] 2010-11,County Number [District] 2009-10,County Number [District] 2008-09,County Number [District] 2007-08,County Number [District] 2006-07,County Number [District] 2005-06,County Number [District] 2004-05,County Number [District] 2003-04,County Number [District] 2002-03,County Number [District] 2001-02,County Number [District] 2000-01,County Number [District] 1999-00,County Number [District] 1998-99,County Number [District] 1997-98,County Number [District] 1996-97,County Number [District] 1995-96,County Number [District] 1994-95,County Number [District] 1993-94,County Number [District] 1992-93,County Number [District] 1991-92,County Number [District] 1990-91,County Number [District] 1989-90,County Number [District] 1988-89,County Number [District] 1987-88,County Number [District] 1986-87,State Agency ID [District] 2010-11,State Agency ID [District] 2009-10,State Agency ID [District] 2008-09,State Agency ID [District] 2007-08,State Agency ID [District] 2006-07,State Agency ID [District] 2005-06,State Agency ID [District] 2004-05,State Agency ID [District] 2003-04,State Agency ID [District] 2002-03,State Agency ID [District] 2001-02,State Agency ID [District] 2000-01,State Agency ID [District] 1999-00,State Agency ID [District] 1998-99,State Agency ID [District] 1997-98,State Agency ID [District] 1996-97,State Agency ID [District] 1995-96,State Agency ID [District] 1994-95,State Agency ID [District] 1993-94,State Agency ID [District] 1992-93,State Agency ID [District] 1991-92,State Agency ID [District] 1990-91,State Agency ID [District] 1989-90,State Agency ID [District] 1988-89,State Agency ID [District] 1987-88,State Agency ID [District] 1986-87,Total Students (UG PK-12) [District] 2010-11,Total Students (UG PK-12) [District] 2009-10,Total Students (UG PK-12) [District] 2008-09,Total Students (UG PK-12) [District] 2007-08,Total Students (UG PK-12) [District] 2006-07,Total Students (UG PK-12) [District] 2005-06,Total Students (UG PK-12) [District] 2004-05,Total Students (UG PK-12) [District] 2003-04,Total Students (UG PK-12) [District] 2002-03,Total Students (UG PK-12) [District] 2001-02,Total Students (UG PK-12) [District] 2000-01,Total Students (UG PK-12) [District] 1999-00,Total Students (UG PK-12) [District] 1998-99,Total Students (UG PK-12) [District] 1997-98,Total Students (UG PK-12) [District] 1996-97,Total Students (UG PK-12) [District] 1995-96,Total Students (UG PK-12) [District] 1994-95,Total Students (UG PK-12) [District] 1993-94,Total Students (UG PK-12) [District] 1992-93,Total Students (UG PK-12) [District] 1991-92,Total Students (UG PK-12) [District] 1990-91,Total Students (UG PK-12) [District] 1989-90,Total Students (UG PK-12) [District] 1988-89,Total Students (UG PK-12) [District] 1987-88,Grade 8 Students [Public School] 2010-11,Grade 8 Students [Public School] 2009-10,Grade 8 Students [Public School] 2008-09,Grade 8 Students [Public School] 2007-08,Grade 8 Students [Public School] 2006-07,Grade 8 Students [Public School] 2005-06,Grade 8 Students [Public School] 2004-05,Grade 8 Students [Public School] 2003-04,Grade 8 Students [Public School] 2002-03,Grade 8 Students [Public School] 2001-02,Grade 8 Students [Public School] 2000-01,Grade 8 Students [Public School] 1999-00,Grade 8 Students [Public School] 1998-99,Grade 8 Students [Public School] 1997-98,Diploma Recipients (**) [District] 2008-09,Diploma Recipients (**) [District] 2007-08,Diploma Recipients (**) [District] 2006-07,Diploma Recipients (**) [District] 2005-06,Diploma Recipients (**) [District] 2004-05,Diploma Recipients (**) [District] 2003-04,Diploma Recipients (**) [District] 2002-03,Diploma Recipients (**) [District] 2001-02,Diploma Recipients (**) [District] 2000-01,Diploma Recipients (**) [District] 1999-00,Diploma Recipients (**) [District] 1998-99,Diploma Recipients (**) [District] 1997-98,Diploma Recipients (**) [District] 1996-97,Diploma Recipients (**) [District] 1995-96,Diploma Recipients (**) [District] 1994-95,Diploma Recipients (**) [District] 1993-94,Diploma Recipients (**) [District] 1992-93,Diploma Recipients (**) [District] 1991-92,Diploma Recipients (**) [District] 1990-91,Diploma Recipients (**) [District] 1989-90,Diploma Recipients (**) [District] 1988-89,Diploma Recipients (**) [District] 1987-88,Diploma Recipients (**) [District] 1986-87,Total Free and Reduced Lunch Students [Public School] 2010-11,Total Free and Reduced Lunch Students [Public School] 2009-10,Total Free and Reduced Lunch Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2007-08,Total Free and Reduced Lunch Students [Public School] 2006-07,Total Free and Reduced Lunch Students [Public School] 2005-06,Total Free and Reduced Lunch Students [Public School] 2004-05,Total Free and Reduced Lunch Students [Public School] 2003-04,Total Free and Reduced Lunch Students [Public School] 2002-03,Total Free and Reduced Lunch Students [Public School] 2001-02,Total Free and Reduced Lunch Students [Public School] 2000-01,Total Free and Reduced Lunch Students [Public School] 1999-00,Total Free and Reduced Lunch Students [Public School] 1998-99
ADAIR CO,Kentucky,2100030,ADAIR COUNTY,ADAIR COUNTY,ADAIR COUNTY,Adair,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,ADAIR,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000     ",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000",="001001000     ",="001001000     ",="001001000",="001001000",="001001000",="001001000",2580,2604,2547,2659,2605,2814,2794,2743,2752,2718,2621,2576,2650,2727,2696,2623,2597,2581,2589,2534,2572,2576,2590,2679,179,194,196,193,221,214,221,189,217,183,181,191,204,215,186,165,165,–,161,172,153,127,151,128,172,151,163,161,162,132,147,137,143,180,152,150,153,1625,1660,1477,1417,1315,1618,†,†,2455,1626,1514,1547,1587
ALLEN CO,Kentucky,2100070,ALLEN COUNTY,ALLEN COUNTY,ALLEN COUNTY,Allen,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,ALLEN,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000     ",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000",="002005000     ",="002005000     ",="002005000",="002005000",="002005000",="002005000",3055,3003,3037,3090,3028,3127,3080,3065,3085,3054,2991,3041,3049,3032,2933,2854,2821,2790,2680,2671,2659,2626,2607,2582,219,217,221,257,253,215,278,226,257,238,211,221,270,255,234,187,203,–,190,185,209,184,167,202,168,185,160,173,177,157,140,134,163,155,155,131,134,1738,1606,1797,1579,1435,1428,†,†,2059,1348,1281,1275,1248
ANCHORAGE IND,Kentucky,2100090,JEFFERSON COUNTY,JEFFERSON COUNTY,JEFFERSON COUNTY,Jefferson,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,JEFFERSON,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,21111,="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000     ",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000",="056006000     ",="056006000     ",="056006000",="056006000",="056006000",="056006000",358,371,384,390,412,447,445,450,452,437,439,444,450,431,412,378,363,378,379,400,402,391,374,327,45,47,47,43,50,60,51,52,55,39,28,43,49,50,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",10,†,1,1,1,1,†,†,="0",="0",4,="0",3
ANDERSON CO,Kentucky,2100120,ANDERSON COUNTY,ANDERSON COUNTY,ANDERSON COUNTY,Anderson,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,ANDERSON,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000     ",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000",="003011000     ",="003011000     ",="003011000",="003011000",="003011000",="003011000",3990,4071,4009,4016,3855,4094,4054,3987,3938,3830,3737,3674,3504,3462,2923,3080,3045,2952,2926,2799,2748,2748,2733,2708,311,335,296,303,323,284,323,284,257,268,269,256,256,246,290,266,254,–,237,230,232,189,180,184,184,174,153,177,168,–,154,161,152,152,156,164,163,1786,1772,1553,1455,1374,1315,†,†,1444,1061,966,955,926
ASHLAND IND,Kentucky,2100150,BOYD COUNTY,BOYD COUNTY,BOYD COUNTY,Boyd,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,BOYD,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000     ",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000",="010012000     ",="010012000     ",="010012000",="010012000",="010012000",="010012000",3114,3305,3243,3198,3129,3319,3354,3402,3354,3391,3339,3365,3443,3729,3596,3599,3699,3725,3782,3744,3687,3679,3681,3674,225,†,251,269,239,249,273,257,241,269,279,273,244,279,235,189,198,–,200,248,187,205,215,214,220,265,201,236,220,195,222,202,216,226,256,237,218,1692,1722,1631,1607,1463,1520,†,†,2022,1558,1483,1480,1459
AUGUSTA IND,Kentucky,2100180,BRACKEN COUNTY,BRACKEN COUNTY,BRACKEN COUNTY,Bracken,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,BRACKEN,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000     ",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000",="012013000     ",="012013000     ",="012013000",="012013000",="012013000",="012013000",283,306,317,291,287,311,298,295,273,286,299,295,278,320,306,296,306,300,278,296,287,279,281,280,25,31,23,23,23,24,22,18,22,18,21,28,19,25,29,26,20,–,19,24,16,25,15,24,21,25,23,29,23,26,15,26,18,16,29,22,22,195,196,198,165,178,197,†,†,226,155,155,162,171
BALLARD CO,Kentucky,2100210,BALLARD COUNTY,BALLARD COUNTY,BALLARD COUNTY,Ballard,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,BALLARD,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,21007,="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000     ",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000",="004015000     ",="004015000     ",="004015000",="004015000",="004015000",="004015000",1460,1467,1420,1448,1363,1515,1516,1537,1509,1499,1503,1493,1496,1511,1408,1429,1448,1800,1469,1460,1442,1479,1467,1510,118,116,96,96,112,104,115,103,104,118,119,108,101,115,106,87,83,–,99,95,69,101,92,92,91,78,109,92,114,–,95,77,108,109,118,103,113,803,794,714,744,666,640,†,†,795,594,598,586,590
BARBOURVILLE IND,Kentucky,2100240,KNOX COUNTY,KNOX COUNTY,KNOX COUNTY,Knox,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,KNOX,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,21121,="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000     ",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000",="061016000     ",="061016000     ",="061016000",="061016000",="061016000",="061016000",716,652,656,650,618,666,672,662,716,718,689,693,683,700,735,690,671,708,701,645,569,519,519,493,47,43,48,57,48,46,51,52,43,50,53,64,62,55,49,52,40,–,51,54,44,35,46,49,39,51,38,47,50,38,45,29,39,21,23,31,25,437,406,378,322,307,311,†,†,522,338,333,345,307
BARDSTOWN IND,Kentucky,2100270,NELSON COUNTY,NELSON COUNTY,NELSON COUNTY,Nelson,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,NELSON,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,21179,="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000     ",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000",="090017000     ",="090017000     ",="090017000",="090017000",="090017000",="090017000",2744,2741,2472,2425,2189,2404,2314,2110,2094,2063,1909,1856,1814,1799,1613,1563,1538,1525,1562,1541,1514,1494,1567,1501,170,173,170,184,156,155,149,146,130,145,118,137,138,146,114,68,99,–,89,103,115,111,99,107,113,93,79,77,78,90,67,74,69,76,82,108,85,1753,1778,1251,1369,1387,914,†,†,1368,928,937,938,957
BARREN CO,Kentucky,2100300,BARREN COUNTY,BARREN COUNTY,BARREN COUNTY,Barren,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,BARREN,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,21009,="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000     ",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000",="005021000     ",="005021000     ",="005021000",="005021000",="005021000",="005021000",4977,4855,4677,4568,4418,4462,4332,4204,4144,4103,3937,3842,3710,3631,3469,3303,3305,3213,3195,3147,3161,3120,3184,3195,327,385,372,379,358,342,293,352,305,308,303,275,297,277,251,314,237,–,240,249,242,208,255,246,259,223,216,208,222,230,224,198,214,220,235,226,230,2772,2824,2421,2213,2253,2202,†,†,2752,1772,1583,1453,1344
