Title I Grants to Local Educational Agencies - KENTUCKY,,,,
Allocations under the American Recovery and Reinvestment Act,,,,
,,,,
,,Title I Allocations,,
LEA ID,District,Under the Recovery Act*,,
,,,,
2100030,ADAIR COUNTY SCHOOL DISTRICT,"756,950",,
2100070,ALLEN COUNTY SCHOOL DISTRICT,"654,494",,
2100090,ANCHORAGE INDEPENDENT SCHOOL DISTRICT,0,,
2100120,ANDERSON COUNTY SCHOOL DISTRICT,"259,116",,
2100150,ASHLAND INDEPENDENT SCHOOL DISTRICT,"731,553",,
2100180,AUGUSTA INDEPENDENT SCHOOL DISTRICT,"68,191",,
2100210,BALLARD COUNTY SCHOOL DISTRICT,"213,314",,
2100240,BARBOURVILLE INDEPENDENT SCHOOL DISTRICT,"202,258",,
2100270,BARDSTOWN INDEPENDENT SCHOOL DISTRICT,"370,546",,
2100300,BARREN COUNTY SCHOOL DISTRICT,"603,627",,
2100330,BATH COUNTY SCHOOL DISTRICT,"695,922",,
2100360,BEECHWOOD INDEPENDENT SCHOOL DISTRICT,"58,919",,
2100390,BELL COUNTY SCHOOL DISTRICT,"1,006,218",,
2100420,BELLEVUE INDEPENDENT SCHOOL DISTRICT,"76,583",,
2100480,BEREA INDEPENDENT SCHOOL DISTRICT,"197,606",,
2100510,BOONE COUNTY SCHOOL DISTRICT,"1,222,752",,
2100540,BOURBON COUNTY SCHOOL DISTRICT,"279,388",,
2100570,BOWLING GREEN INDEPENDENT SCHOOL DISTRICT,"1,243,990",,
2100620,BOYD COUNTY SCHOOL DISTRICT,"406,952",,
2100630,BOYLE COUNTY SCHOOL DISTRICT,"236,309",,
2100660,BRACKEN COUNTY SCHOOL DISTRICT,"140,065",,
2100690,BREATHITT COUNTY SCHOOL DISTRICT,"1,281,180",,
2100720,BRECKINRIDGE COUNTY SCHOOL DISTRICT,"458,824",,
2100750,BULLITT COUNTY SCHOOL DISTRICT,"1,218,922",,
2100780,BURGIN INDEPENDENT SCHOOL DISTRICT,"27,242",,
2100810,BUTLER COUNTY SCHOOL DISTRICT,"418,758",,
2100840,CALDWELL COUNTY SCHOOL DISTRICT,"354,407",,
2100870,CALLOWAY COUNTY SCHOOL DISTRICT,"467,668",,
2100900,CAMPBELL COUNTY SCHOOL DISTRICT,"268,963",,
2100930,CAMPBELLSVILLE INDEPENDENT SCHOOL DISTRICT,"410,675",,
2100960,CARLISLE COUNTY SCHOOL DISTRICT,"122,894",,
2100990,CARROLL COUNTY SCHOOL DISTRICT,"296,621",,
