Location,TimeFrame,DataFormat,Data
Kentucky,1997,Rate,23.1
Kentucky,1998,Rate,21.2
Kentucky,1999,Rate,20.2
Kentucky,2000,Rate,20.8
Kentucky,2001,Rate,19.8
Kentucky,2002,Rate,21.1
Kentucky,2003,Rate,21.1
Kentucky,2004,Rate,22.2
Kentucky,2005,Rate,23
Kentucky,2006,Rate,23.1
Kentucky,2007,Rate,23.6
Kentucky,2008,Rate,23.4
Kentucky,2009,Rate,25.3
Kentucky,2010,Rate,26.1
Kentucky,2011,Rate,27.2
Kentucky,2012,Rate,26.5
Adair,1997,Rate,33.8
Adair,1998,Rate,30.2
Adair,1999,Rate,29.6
Adair,2000,Rate,30.9
Adair,2001,Rate,31
Adair,2002,Rate,29.3
Adair,2003,Rate,29
Adair,2004,Rate,30
Adair,2005,Rate,35
Adair,2006,Rate,34.2
Adair,2007,Rate,31.7
Adair,2008,Rate,33
Adair,2009,Rate,34
Adair,2010,Rate,35.4
Adair,2011,Rate,37.6
Adair,2012,Rate,39.2
Allen,1997,Rate,20
Allen,1998,Rate,22.1
Allen,1999,Rate,19.7
Allen,2000,Rate,23.8
Allen,2001,Rate,19.4
Allen,2002,Rate,20
Allen,2003,Rate,20.8
Allen,2004,Rate,23.9
Allen,2005,Rate,25
Allen,2006,Rate,25.7
Allen,2007,Rate,27
Allen,2008,Rate,27.5
Allen,2009,Rate,27.9
Allen,2010,Rate,31
Allen,2011,Rate,29.4
Allen,2012,Rate,30.8
Anderson,1997,Rate,11.8
Anderson,1998,Rate,12.6
Anderson,1999,Rate,11.6
Anderson,2000,Rate,9
Anderson,2001,Rate,11.1
Anderson,2002,Rate,11.8
Anderson,2003,Rate,12.9
Anderson,2004,Rate,12.7
Anderson,2005,Rate,12
Anderson,2006,Rate,13.2
Anderson,2007,Rate,12.9
Anderson,2008,Rate,13.2
Anderson,2009,Rate,16.7
Anderson,2010,Rate,18.4
Anderson,2011,Rate,17.2
Anderson,2012,Rate,18
Ballard,1997,Rate,19
Ballard,1998,Rate,19.4
Ballard,1999,Rate,19.5
Ballard,2000,Rate,19.8
Ballard,2001,Rate,18.9
Ballard,2002,Rate,20.7
Ballard,2003,Rate,20.4
Ballard,2004,Rate,21
Ballard,2005,Rate,22
Ballard,2006,Rate,22
Ballard,2007,Rate,24.3
Ballard,2008,Rate,22.2
Ballard,2009,Rate,24.2
Ballard,2010,Rate,22.5
Ballard,2011,Rate,24.9
Ballard,2012,Rate,25.5
Barren,1997,Rate,22.8
Barren,1998,Rate,22.5
Barren,1999,Rate,20.8
Barren,2000,Rate,20.6
Barren,2001,Rate,21.3
Barren,2002,Rate,22.3
Barren,2003,Rate,22.5
Barren,2004,Rate,23.3
Barren,2005,Rate,27
Barren,2006,Rate,25.5
Barren,2007,Rate,25
Barren,2008,Rate,25.5
Barren,2009,Rate,28.2
Barren,2010,Rate,28.9
Barren,2011,Rate,31
Barren,2012,Rate,30.2
Bath,1997,Rate,35
Bath,1998,Rate,30.7
Bath,1999,Rate,28
Bath,2000,Rate,29.9
Bath,2001,Rate,26.6
Bath,2002,Rate,27.4
Bath,2003,Rate,28.1
Bath,2004,Rate,28.6
Bath,2005,Rate,33
Bath,2006,Rate,30.6
Bath,2007,Rate,36.5
Bath,2008,Rate,38.4
Bath,2009,Rate,37.7
Bath,2010,Rate,38.1
Bath,2011,Rate,38
Bath,2012,Rate,36.5
Bell,1997,Rate,39.3
Bell,1998,Rate,33.5
Bell,1999,Rate,34.2
Bell,2000,Rate,42.1
Bell,2001,Rate,37.2
Bell,2002,Rate,39.4
Bell,2003,Rate,38.5
Bell,2004,Rate,39.4
Bell,2005,Rate,47
Bell,2006,Rate,42.4
Bell,2007,Rate,38.7
Bell,2008,Rate,41.8
Bell,2009,Rate,51.5
Bell,2010,Rate,41.9
Bell,2011,Rate,50.5
Bell,2012,Rate,46.5
Boone,1997,Rate,9.5
Boone,1998,Rate,9.7
Boone,1999,Rate,9
Boone,2000,Rate,6.8
Boone,2001,Rate,7.8
Boone,2002,Rate,8.3
Boone,2003,Rate,9.1
Boone,2004,Rate,9.8
Boone,2005,Rate,10
Boone,2006,Rate,8.7
Boone,2007,Rate,8.3
Boone,2008,Rate,8
Boone,2009,Rate,10.7
Boone,2010,Rate,11.5
Boone,2011,Rate,12.1
Boone,2012,Rate,12.3
Bourbon,1997,Rate,20.9
Bourbon,1998,Rate,21.1
Bourbon,1999,Rate,18.5
Bourbon,2000,Rate,19.3
Bourbon,2001,Rate,19.6
Bourbon,2002,Rate,19.3
Bourbon,2003,Rate,19.9
Bourbon,2004,Rate,20.2
Bourbon,2005,Rate,25
Bourbon,2006,Rate,21.7
Bourbon,2007,Rate,21.6
Bourbon,2008,Rate,21.1
Bourbon,2009,Rate,24
Bourbon,2010,Rate,24.7
Bourbon,2011,Rate,28.8
Bourbon,2012,Rate,26.4
Boyd,1997,Rate,25.9
Boyd,1998,Rate,25.4
Boyd,1999,Rate,22.7
Boyd,2000,Rate,23.5
Boyd,2001,Rate,21.9
Boyd,2002,Rate,23.6
Boyd,2003,Rate,23.5
Boyd,2004,Rate,24.8
Boyd,2005,Rate,24
Boyd,2006,Rate,25.6
Boyd,2007,Rate,23.6
Boyd,2008,Rate,24
Boyd,2009,Rate,29.5
Boyd,2010,Rate,28.4
Boyd,2011,Rate,29.9
Boyd,2012,Rate,26.5
Boyle,1997,Rate,19.6
Boyle,1998,Rate,19.3
Boyle,1999,Rate,17.6
Boyle,2000,Rate,16.1
Boyle,2001,Rate,17.5
Boyle,2002,Rate,18.1
Boyle,2003,Rate,19
Boyle,2004,Rate,20
Boyle,2005,Rate,20
Boyle,2006,Rate,23.9
Boyle,2007,Rate,22.7
Boyle,2008,Rate,20.5
Boyle,2009,Rate,26.3
Boyle,2010,Rate,23.2
Boyle,2011,Rate,24.8
Boyle,2012,Rate,24.7
Bracken,1997,Rate,22.2
Bracken,1998,Rate,21.3
Bracken,1999,Rate,16
Bracken,2000,Rate,10.7
Bracken,2001,Rate,14.9
Bracken,2002,Rate,16.6
Bracken,2003,Rate,16.7
Bracken,2004,Rate,16.8
Bracken,2005,Rate,16
Bracken,2006,Rate,17.8
Bracken,2007,Rate,20.8
Bracken,2008,Rate,19.3
Bracken,2009,Rate,24.1
Bracken,2010,Rate,24.7
Bracken,2011,Rate,25.5
Bracken,2012,Rate,26
Breathitt,1997,Rate,44.9
Breathitt,1998,Rate,37.8
Breathitt,1999,Rate,37.6
Breathitt,2000,Rate,43.5
Breathitt,2001,Rate,39.2
Breathitt,2002,Rate,41.4
Breathitt,2003,Rate,39.8
Breathitt,2004,Rate,39.8
Breathitt,2005,Rate,47
Breathitt,2006,Rate,45.3
Breathitt,2007,Rate,45.3
Breathitt,2008,Rate,44.7
Breathitt,2009,Rate,46.6
Breathitt,2010,Rate,38.7
Breathitt,2011,Rate,47.2
Breathitt,2012,Rate,44.2
Breckinridge,1997,Rate,26.5
Breckinridge,1998,Rate,26.5
Breckinridge,1999,Rate,21.4
Breckinridge,2000,Rate,16.8
Breckinridge,2001,Rate,21.6
Breckinridge,2002,Rate,23.1
Breckinridge,2003,Rate,23.1
Breckinridge,2004,Rate,23.6
Breckinridge,2005,Rate,26
Breckinridge,2006,Rate,25.1
Breckinridge,2007,Rate,24.1
Breckinridge,2008,Rate,27
Breckinridge,2009,Rate,30
Breckinridge,2010,Rate,29.6
Breckinridge,2011,Rate,30.6
Breckinridge,2012,Rate,29.1
Bullitt,1997,Rate,14
Bullitt,1998,Rate,12.9
Bullitt,1999,Rate,12.8
Bullitt,2000,Rate,11.5
Bullitt,2001,Rate,10.6
Bullitt,2002,Rate,11.9
Bullitt,2003,Rate,13.7
Bullitt,2004,Rate,14.6
Bullitt,2005,Rate,13
Bullitt,2006,Rate,12.2
Bullitt,2007,Rate,13.3
Bullitt,2008,Rate,13.3
Bullitt,2009,Rate,14.7
Bullitt,2010,Rate,15.3
Bullitt,2011,Rate,16.7
Bullitt,2012,Rate,15.7
Butler,1997,Rate,27.8
Butler,1998,Rate,26.3
Butler,1999,Rate,22.5
Butler,2000,Rate,18.8
Butler,2001,Rate,21.5
Butler,2002,Rate,23.2
Butler,2003,Rate,24.4
Butler,2004,Rate,23.9
Butler,2005,Rate,25
Butler,2006,Rate,26
Butler,2007,Rate,26.8
Butler,2008,Rate,26.6
Butler,2009,Rate,30
Butler,2010,Rate,29.3
Butler,2011,Rate,30.5
Butler,2012,Rate,30
Caldwell,1997,Rate,25.8
Caldwell,1998,Rate,26.1
Caldwell,1999,Rate,22.5
Caldwell,2000,Rate,20.6
Caldwell,2001,Rate,20.1
Caldwell,2002,Rate,21.2
Caldwell,2003,Rate,20.8
Caldwell,2004,Rate,21.7
Caldwell,2005,Rate,23
Caldwell,2006,Rate,24.3
Caldwell,2007,Rate,25.2
Caldwell,2008,Rate,23.4
Caldwell,2009,Rate,26.7
Caldwell,2010,Rate,28.7
Caldwell,2011,Rate,30.9
Caldwell,2012,Rate,31.1
Calloway,1997,Rate,20
Calloway,1998,Rate,18.6
Calloway,1999,Rate,18.7
Calloway,2000,Rate,18.6
Calloway,2001,Rate,18.4
Calloway,2002,Rate,19.4
Calloway,2003,Rate,20
Calloway,2004,Rate,20.4
Calloway,2005,Rate,22
Calloway,2006,Rate,19.9
Calloway,2007,Rate,22
Calloway,2008,Rate,20.9
Calloway,2009,Rate,23.8
Calloway,2010,Rate,22.5
Calloway,2011,Rate,23.7
Calloway,2012,Rate,23.4
Campbell,1997,Rate,14.6
Campbell,1998,Rate,14.7
Campbell,1999,Rate,13.7
Campbell,2000,Rate,12.4
Campbell,2001,Rate,12.4
Campbell,2002,Rate,13.2
