ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Grade 8 Students [State] 2011-12,Grade 8 Students [State] 2010-11,Grade 8 Students [State] 2009-10,Grade 8 Students [State] 2008-09,Grade 8 Students [State] 2007-08,Grade 8 Students [State] 2006-07,Grade 8 Students [State] 2005-06,Grade 8 Students [State] 2004-05,Grade 8 Students [State] 2003-04,Grade 8 Students [State] 2002-03,Grade 8 Students [State] 2001-02,Grade 8 Students [State] 2000-01,Grade 8 Students [State] 1999-00,Grade 8 Students [State] 1998-99,Grade 8 Students [State] 1997-98,Grade 8 Students [State] 1996-97,Diploma Recipients  (**) [State] 2009-10,Diploma Recipients  (**) [State] 2008-09,Diploma Recipients  (**) [State] 2007-08,Diploma Recipients  (**) [State] 2006-07,Diploma Recipients  (**) [State] 2005-06,Diploma Recipients  (**) [State] 2004-05,Diploma Recipients  (**) [State] 2003-04,Diploma Recipients  (**) [State] 2002-03,Diploma Recipients  (**) [State] 2001-02,Diploma Recipients  (**) [State] 2000-01,Diploma Recipients  (**) [State] 1999-00,Diploma Recipients  (**) [State] 1998-99,Diploma Recipients  (**) [State] 1997-98,Diploma Recipients  (**) [State] 1996-97
ALABAMA,57919,57992,57027,57809,58792,59573,59643,59286,59663,57576,56591,56951,56201,57105,58210,58305,43166,42082,41346,38912,37918,37453,36464,36741,35887,37082,37819,36244,38089,†
ALASKA,9527,9622,9626,9673,9953,10155,10793,10857,11140,10840,10702,10377,10575,10497,9954,9627,8245,8008,7855,7666,7361,6909,7236,7297,6945,6812,6615,6810,6462,†
ARIZONA,81294,80636,82163,81576,81196,80769,80683,78595,76376,69841,69643,65526,65338,63943,60138,60514,61145,62374,61667,55954,54091,59498,45508,49986,47175,46733,38304,35728,36361,†
ARKANSAS,36339,36237,35715,35387,35944,36026,37279,37369,37004,36102,35372,34873,35403,35936,36229,37064,28276,28057,28725,27166,28790,26621,27181,27555,26984,27100,27335,26896,26855,25146
CALIFORNIA,467626,476639,472856,486390,490054,491871,489560,498806,500143,473553,461133,441877,431730,424768,412604,406456,404987,372310,374561,356641,343515,355217,343480,341097,325895,315189,309866,299221,282897,269071
COLORADO,61156,59684,59129,58733,58396,59497,59929,59397,58897,57664,56540,55384,54599,53556,52632,52269,49321,47459,46082,45628,44424,44532,44777,42379,40760,39241,38924,36958,35794,†
CONNECTICUT,42511,42346,42999,43027,43670,44609,44680,45072,45854,44422,43954,42597,41205,40254,39089,37991,34495,34968,38419,37541,36222,35515,34573,33667,32327,30388,31562,28284,27885,27029
DELAWARE,9569,9504,9519,9908,10176,10262,10492,10494,10222,9961,9396,9075,8957,8964,8905,8820,8133,7839,7388,7205,7275,6934,6951,6817,6482,6614,6108,6484,6439,5953
DISTRICT OF COLUMBIA,4328,4307,4452,4540,5182,4826,5196,5189,5158,4605,3662,3371,4408,4083,4376,4625,3602,3517,3352,2944,–,2781,3031,2725,3090,2808,2695,2675,2777,†
FLORIDA,200378,201676,198245,200736,193970,207213,208413,209559,205443,201159,194250,185663,181574,179066,173913,169657,156130,153461,149046,142284,134686,133318,131418,127484,119537,111112,106708,102386,98498,95082
GEORGIA,126785,123794,124084,123857,124544,126903,123678,122432,120694,116150,112145,109124,106688,104863,103107,102355,91561,88003,83505,77829,73498,70834,68550,66890,65983,62499,62563,59227,58525,58996
HAWAII,12783,12567,12967,12665,13420,13512,13696,14422,14543,13875,13705,13424,13175,13339,13829,13786,10998,11508,11613,11063,10922,10813,10324,10013,10452,10102,10437,9714,9670,8929
IDAHO,21172,20588,21019,20623,20557,20540,20674,20299,20091,19647,19592,19045,18589,19073,19696,19998,17793,16807,16567,16242,16096,15768,15547,15858,15874,15941,16170,15716,15523,15407
ILLINOIS,153828,154293,155003,159272,161310,159038,160911,162192,160271,156451,151737,149045,149397,148529,145853,141348,139035,131670,135143,130220,126817,123615,124763,117507,116657,110624,111835,112556,114611,†
INDIANA,79586,79790,80983,80874,80850,82067,82021,82728,81494,79338,76999,73889,74540,74775,75575,76566,64551,63663,61901,59887,57920,55444,56008,57897,56722,56172,57012,58964,58899,57463
IOWA,35498,35263,35239,35324,36040,37031,38145,38097,38428,37281,37115,36458,37966,38374,37631,38801,34462,33926,34573,34127,33693,33547,34339,34860,33789,33774,33926,34378,34189,32986
KANSAS,35291,34220,34596,34366,34572,34810,35772,35915,36602,35972,36120,36085,36759,37189,36832,37164,31642,30368,30737,30139,29818,30355,30155,29963,29541,29360,29102,28685,27856,†
KENTUCKY,50043,48525,49298,49668,49723,50323,50701,51172,50186,48934,47019,48938,48427,49580,50385,49641,42664,41851,39339,39099,38449,38399,37787,37654,36337,36957,36830,37048,37270,†
LOUISIANA,52289,49523,52818,51910,51355,50694,53832,60194,60013,60930,61115,61997,55710,56683,55957,57344,36573,35622,34401,34274,33275,36009,37019,37610,37905,38314,38430,37802,38030,†
MAINE,14584,14358,14438,14886,15334,15782,16692,16850,17321,17131,17347,17035,17493,17438,17218,17124,14069,14093,14350,13151,12950,13077,13278,12947,12593,12654,12211,11988,12171,12019
MARYLAND,61917,61971,62590,63639,65088,66332,68400,69567,68967,67984,66211,64647,62776,62174,60010,59236,59078,58304,59171,57564,55536,54170,52870,51864,50881,49222,47849,46214,44555,†
MASSACHUSETTS,72758,71588,72093,73170,73318,74381,76223,76831,78635,77903,75218,74527,72545,72101,69388,67029,64462,65258,65197,63903,61272,59665,58326,55987,55272,54393,52950,51465,50452,†
MICHIGAN,118628,118831,121463,123823,126608,130582,134113,137898,139797,135649,129908,128743,122548,123565,119473,122686,110682,112742,115183,111838,102582,101582,98823,100301,95001,96515,97679,94125,92732,89695
MINNESOTA,61574,61706,61281,62080,63189,64619,65416,66016,67909,66999,66797,66254,67705,67899,66529,65881,59667,59729,60409,59497,58898,58391,59096,59432,57440,56581,57372,56964,54628,†
MISSISSIPPI,36071,36113,36577,37889,37948,38819,38907,39115,38231,37282,36731,36588,37344,37322,38455,38879,25478,24505,24795,24186,23848,23523,23735,23810,23740,23748,24232,24198,24502,23388
MISSOURI,68413,66944,67430,68030,68636,72023,74436,73619,72806,71670,69677,68717,69850,69965,68190,69195,63994,62969,61717,60275,58417,57841,57983,56925,54487,54138,52848,52531,52095,†
MONTANA,10773,10729,10911,10890,11180,11387,12050,12011,12409,12218,12389,12517,12975,12994,13035,13183,10075,10077,10396,10122,10283,10335,10500,10657,10554,10628,10903,10925,10656,†
NEBRASKA,21115,20875,20834,20958,21047,21622,21998,22267,22792,21943,21757,21864,22452,22725,23190,22912,19370,19501,20035,19873,19764,19940,20309,20161,19910,19658,20149,20550,19719,18636
NEVADA,33745,33070,33291,34394,34121,33586,33502,32472,31392,29242,27028,25327,24268,23168,21910,21041,20956,19904,18815,17149,16455,15740,15201,16378,16270,15127,14551,13892,13052,12425
NEW HAMPSHIRE,15164,15407,15517,15783,16218,16431,17038,17237,17703,17421,17111,17209,16793,16848,15967,15738,15034,14757,14982,14452,13988,13775,13309,13210,12452,12294,11829,11251,10843,†
NEW JERSEY,98968,99630,100749,100894,100884,102827,103587,104437,103603,101559,97127,92089,88757,86032,83985,82728,96225,95085,94994,93013,90049,86502,83826,81391,77664,76130,74420,67410,65106,†
NEW MEXICO,24436,24469,24126,24366,25063,25563,25987,26211,25857,25630,25012,24870,25322,25716,25525,26017,18595,17931,18264,16131,17822,17353,17892,16923,18094,18199,18031,17317,16529,†
NEW YORK,201190,203761,198690,201895,205135,210851,216226,218176,219335,215632,210369,203482,202221,200097,197148,196724,183826,180917,176310,168333,161817,153203,–,143818,140139,141884,141731,139426,139529,140861
NORTH CAROLINA,113238,111112,109864,111050,114543,110965,111894,109979,108717,106126,102126,99295,96542,95522,93033,91793,88704,86712,83307,76031,76710,75010,72126,69696,65955,63288,62140,60081,59292,57886
NORTH DAKOTA,7436,7298,7308,7364,7472,7874,7993,8127,8245,8374,8514,8651,9137,9321,9555,9943,7155,7232,6999,7159,7192,7555,7888,8169,8114,8445,8606,8388,8170,†
OHIO,134219,133210,134169,137479,139939,144312,144869,147161,147064,144024,141218,139740,140706,141749,138635,140248,123437,122203,120758,117658,117356,116702,119029,115762,110608,111281,111668,111112,111211,†
