DISTNO,CODE,TYPE,DISTNAME,SCHNAME,D09_03,D10_03,D11_03,D12_03,GRADS_4YR_03,GRADS_IEP_03,GRADS_PLUS_03,CERTS_03,GRAD_RT_03,D09_04,D10_04,D11_04,D12_04,GRADS_4YR_04,GRADS_IEP_04,GRADS_PLUS_04,CERTS_04,GRAD_RT_04,D09_05,D10_05,D11_05,D12_05,GRADS_4YR_05,GRADS_IEP_05,GRADS_PLUS_05,CERTS_05,GRAD_RT_05,D09_06,D10_06,D11_06,D12_06,GRADS_4YR_06,GRADS_IEP_06,GRADS_PLUS_06,CERTS_06,GRAD_RT_06,D09_07,D10_07,D11_07,D12_07,GRADS_4YR_07,GRADS_IEP_07,GRADS_PLUS_07,CERTS_07,GRAD_RT_07
001,001010,A1,Adair County,Adair County High School,16,17,9,19,141,0,9,3,65.89,8,9,9,14,151,0,3,3,76.65,6,4,9,4,149,0,1,2,85.14,6,10,8,3,150,0,1,9,80.21,2,5,9,5,165,0,0,12,83.33
001,001,A1,Adair County,---DISTRICT TOTAL---,16,17,9,19,141,0,9,3,65.89,8,9,9,14,156,0,3,13,73.58,6,4,10,5,158,0,1,2,84.95,6,18,9,3,155,0,1,22,72.43,2,5,9,5,165,0,0,12,83.33
005,005020,A1,Allen County,Allen County-Scottsville High School,14,17,16,6,194,0,9,6,74.05,11,11,6,3,179,0,4,2,82.87,7,12,11,2,185,0,2,3,83.33,5,6,5,5,201,0,1,2,89.33,3,9,5,6,201,1,2,2,88.21
005,005,A1,Allen County,---DISTRICT TOTAL---,14,17,16,6,194,0,9,6,74.05,11,11,6,3,179,0,4,2,82.87,7,12,11,2,185,0,2,3,83.33,5,6,5,5,201,0,1,2,89.33,3,9,5,6,201,1,2,2,88.21
011,011020,A1,Anderson County,Anderson County High School,2,6,11,6,226,1,4,1,88.33,10,12,10,3,228,0,1,1,86.04,9,6,8,11,230,3,1,3,85.98,10,3,6,10,235,0,4,4,86.4,7,6,6,7,252,1,1,2,89.72
011,011,A1,Anderson County,---DISTRICT TOTAL---,2,6,11,6,226,1,4,1,88.33,10,12,10,3,228,0,1,1,86.04,9,6,8,11,230,3,1,3,85.98,10,3,6,10,235,0,4,4,86.4,7,6,6,7,252,1,1,2,89.72
012,012010,A1,Ashland Independent,Paul G Blazer High School,4,10,8,6,184,0,2,1,85.58,4,9,7,9,240,1,4,3,87,3,10,8,13,197,1,2,0,84.62,11,7,9,9,215,0,4,0,84.31,7,7,9,9,198,0,0,1,85.71
012,012,A1,Ashland Independent,---DISTRICT TOTAL---,4,10,8,6,184,0,2,1,85.58,4,9,7,9,240,1,4,3,87,3,10,8,13,197,1,2,0,84.62,11,7,9,11,215,0,4,0,83.66,7,7,15,11,198,0,0,1,82.85
013,013011,A1,Augusta Independent,Augusta Independent School,,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,0,0,100,0,0,0,0,24,0,0,0,100,0,0,0,0,20,0,0,0,100
013,013,A1,Augusta Independent,---DISTRICT TOTAL---,0,0,0,0,16,0,0,0,100,0,0,0,0,24,0,0,0,100,0,0,0,0,19,0,0,0,100,0,0,0,0,24,0,0,0,100,0,0,0,0,20,0,0,0,100
