,,,,,,Kentucky Department of Education ,,,,,,,
37363,,,,,,2000-2001 End of Year,,,,,,,
,,,,,,Enrollment By District and Grade,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DISTRICT,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
001 Adair County,208,617,205,188,208,185,189,228,249,180,165,53,2675
005 Allen County,220,718,269,215,268,243,217,275,255,217,181,0,3078
006 Anchorage Independent,40,152,57,59,61,43,28,0,0,0,0,0,440
011 Anderson County,247,907,290,272,266,276,273,293,262,213,192,0,3491
012 Ashland Independent,251,780,274,255,241,282,287,321,248,273,229,53,3494
013 Augusta Independent,25,104,27,33,30,31,30,32,23,25,16,0,376
015 Ballard County,118,338,113,107,104,118,125,117,97,106,102,0,1445
016 Barbourville Independent,53,156,53,64,49,49,56,68,63,38,51,0,700
017 Bardstown Independent,151,470,154,147,139,142,123,148,151,139,109,14,1887
021 Barren County,313,972,270,329,270,297,313,342,349,263,256,0,3974
025 Bath County,153,468,178,147,156,176,125,138,145,123,116,15,1940
026 Beechwood Independent,63,198,73,76,75,75,88,90,77,81,78,26,1000
031 Bell County,220,763,248,243,231,292,219,334,282,203,238,0,3273
032 Bellevue Independent,72,215,64,77,83,108,66,57,68,61,64,0,935
034 Berea Independent,78,248,84,82,85,96,91,88,74,70,72,13,1081
035 Boone County,1006,3343,1101,1130,1110,994,1046,1167,1103,849,784,0,13633
041 Bourbon County,214,627,221,206,227,214,208,244,233,214,156,12,2776
042 Bowling Green Independent,263,805,295,288,284,271,259,320,286,278,225,0,3574
045 Boyd County,252,808,265,276,283,256,269,287,325,293,238,51,3603
051 Boyle County,195,599,231,212,240,187,249,240,222,213,193,0,2781
055 Bracken County,80,273,95,95,103,91,110,103,97,90,90,6,1233
061 Breathitt County,169,535,191,186,176,177,215,301,227,160,131,0,2468
065 Breckinridge County,181,616,190,208,209,225,232,246,227,218,212,0,2764
071 Bullitt County,782,2686,867,880,861,788,767,882,862,729,710,41,10855
072 Burgin Independent,38,106,25,38,37,32,33,33,34,19,16,0,411
075 Butler County,154,507,188,172,192,204,163,212,195,155,133,16,2291
081 Caldwell County,129,481,166,179,161,168,167,185,169,155,144,16,2120
085 Calloway County,186,713,243,235,246,248,267,252,235,261,226,22,3134
091 Campbell County,358,990,337,379,358,379,367,512,454,410,349,0,4893
092 Campbellsville Independent,91,280,113,85,84,118,110,108,99,109,108,0,1305
095 Carlisle County,63,198,66,66,68,70,69,73,75,55,68,3,874
101 Carroll County,144,425,143,159,173,133,136,126,138,149,115,5,1846
105 Carter County,354,1180,397,423,363,371,345,338,385,284,248,68,4756
111 Casey County,154,601,189,185,197,189,199,210,187,147,147,0,2405
113 Caverna Independent,63,193,64,55,52,61,67,84,62,60,51,7,819
115 Christian County,798,2605,792,744,760,707,675,867,681,565,537,54,9785
121 Clark County,379,1280,416,412,440,401,418,455,426,354,282,47,5310
125 Clay County,304,1042,368,332,345,308,334,414,284,194,223,53,4201
131 Clinton County,136,377,123,126,133,103,129,158,91,80,90,0,1546
132 Cloverport Independent,28,70,22,23,25,18,27,21,17,29,27,0,307
133 Corbin Independent,148,425,149,141,155,172,178,189,193,156,186,18,2110
134 Covington Independent,402,1296,430,392,420,353,391,390,295,263,194,125,4951
135 Crittenden County,90,329,106,112,113,121,89,114,122,100,115,0,1411
141 Cumberland County,79,286,97,103,92,97,81,80,102,88,71,0,1176
143 Danville Independent,145,435,152,166,147,140,119,158,128,109,93,69,1861
145 Daviess County,747,2218,729,786,764,762,837,890,837,812,801,173,10356
146 Dawson Springs Independent,68,184,59,72,62,50,62,68,44,38,32,0,739
147 Dayton Independent,100,282,87,95,95,86,86,99,64,64,62,4,1124
149 East Bernstadt Independent,59,169,57,59,54,50,47,0,0,0,0,0,495
151 Edmonson County,146,460,142,153,162,157,154,158,171,121,121,13,1958
152 Elizabethtown Independent,167,504,164,145,168,174,180,198,220,159,156,0,2235
155 Elliott County,81,301,92,91,102,85,94,84,100,75,79,20,1204
156 Eminence Independent,43,147,41,38,43,33,46,42,31,30,29,0,523
157 Erlanger-Elsmere Independentº,186,588,176,187,175,154,167,167,149,135,135,0,2219
161 Estill County,209,668,221,193,203,214,194,230,217,157,160,7,2673
162 Fairview Independent,49,149,64,44,64,65,51,43,58,41,52,0,680
165 Fayette County,2557,8436,2707,2701,2791,2660,2531,3022,2351,2036,1830,18,33640
171 Fleming County,184,607,202,176,194,215,190,210,177,145,151,8,2459
175 Floyd County,524,1622,582,535,537,574,601,672,595,536,469,85,7332
176 Fort Thomas Independent,122,491,182,190,178,207,176,217,190,203,219,7,2382
177 Frankfort Independent,59,183,63,67,55,55,80,107,115,96,88,0,968
181 Franklin County,461,1457,516,437,436,438,439,580,459,381,382,0,5986
185 Fulton County,50,168,81,69,73,88,80,63,71,63,38,3,847
186 Fulton Independent,43,130,36,38,42,31,42,35,49,58,42,0,546
191 Gallatin County,138,387,139,132,132,136,127,117,86,71,65,0,1530
195 Garrard County,180,594,213,191,201,190,180,207,186,160,135,0,2437
197 Glasgow Independent,193,512,152,170,167,154,169,174,128,138,124,17,2098
201 Grant County,296,916,324,285,314,309,322,351,274,172,192,29,3784
205 Graves County,311,1035,344,358,377,360,360,383,337,304,291,0,4460
211 Grayson County,327,1016,323,332,291,315,320,327,353,286,265,22,4177
215 Green County,153,387,122,114,132,135,151,147,167,134,94,0,1736
221 Greenup County,223,814,246,252,264,245,263,266,289,196,219,0,3277
225 Hancock County,131,377,142,149,107,116,129,104,101,117,97,0,1570
231 Hardin County,882,2842,1004,1032,1074,1050,1086,1278,1153,1018,925,146,13490
235 Harlan County,371,1229,435,407,380,411,441,473,480,300,336,0,5263
236 Harlan Independent,78,204,67,54,67,57,75,80,77,74,58,0,891
241 Harrison County,237,770,246,223,259,216,272,266,248,232,219,0,3188
242 Harrodsburg Independent,87,286,92,76,76,76,61,72,61,44,48,0,979
245 Hart County,168,573,188,178,179,186,184,207,185,169,142,0,2359
246 Hazard Independent,77,244,81,75,88,67,82,102,97,91,67,0,1071
251 Henderson County,531,1554,538,570,569,553,554,609,699,583,507,10,7277
255 Henry County,166,523,190,175,154,161,190,166,184,121,145,1,2176
261 Hickman County,60,207,70,70,63,81,70,72,53,48,41,0,835
265 Hopkins County,520,1693,563,559,553,575,542,622,553,451,407,0,7038
271 Jackson County,186,587,208,197,187,192,184,277,165,132,131,13,2459
272 Jackson Independent,33,140,35,44,38,34,26,40,23,23,24,0,460
275 Jefferson County,7012,21745,7506,7081,6916,6522,6460,8614,7281,5937,5482,3506,94062
276 Jenkins Independent,33,121,53,43,38,39,27,57,46,43,43,0,543
281 Jessamine County,496,1664,561,591,532,492,521,557,496,406,393,0,6709
285 Johnson County,276,897,277,294,283,331,288,307,335,269,218,32,3807
291 Kenton County,872,2856,1032,929,1013,1003,1007,1063,952,778,708,96,12309
295 Knott County,237,732,244,220,192,212,233,329,218,211,213,16,3057
301 Knox County,369,1298,414,397,372,381,383,437,382,264,276,70,5043
305 LaRue County,146,577,205,199,173,192,158,185,183,182,152,24,2376
311 Laurel County,681,2124,705,692,645,686,667,769,656,532,463,31,8651
315 Lawrence County,178,661,228,254,228,217,237,270,212,207,198,0,2890
321 Lee County,102,353,99,102,118,124,106,106,97,84,84,0,1375
325 Leslie County,174,494,181,197,187,185,168,234,179,161,142,0,2302
331 Letcher County,278,855,311,301,313,286,292,360,321,253,241,8,3819
335 Lewis County,214,614,200,205,194,187,186,249,193,165,159,3,2569
341 Lincoln County,324,1032,330,328,320,327,326,368,297,232,224,40,4148
345 Livingston County,101,343,157,135,127,98,125,114,112,99,86,0,1497
351 Logan County,236,761,265,263,257,246,229,297,242,253,206,5,3260
354 Ludlow Independent,73,249,87,86,94,97,86,70,73,52,69,0,1036
361 Lyon County,77,270,91,82,87,74,76,91,80,59,78,0,1065
365 Madison County,712,2412,783,719,705,721,690,696,628,596,532,68,9262
371 Magoffin County,186,615,219,194,179,196,181,251,208,182,168,16,2595
375 Marion County,221,757,235,233,248,225,223,253,223,241,218,6,3083
381 Marshall County,360,1117,372,411,448,396,373,402,381,345,291,25,4921
385 Martin County,196,664,225,210,199,177,171,239,210,178,178,5,2652
391 Mason County,223,609,224,220,237,205,242,249,182,194,163,19,2767
392 Mayfield Independent,108,363,126,120,112,110,119,119,114,102,80,0,1473
395 McCracken County,535,1582,508,521,550,520,545,562,534,526,462,26,6871
401 McCreary County,270,852,274,268,325,231,271,282,313,254,212,0,3552
405 McLean County,96,393,105,124,137,129,136,139,145,117,105,16,1642
411 Meade County,296,982,352,340,316,398,428,441,386,384,316,14,4653
415 Menifee County,70,262,72,102,82,99,106,114,99,98,100,0,1204
421 Mercer County,159,517,156,180,158,180,176,154,172,179,169,0,2200
425 Metcalfe County,128,396,138,131,121,139,110,162,77,96,108,17,1623
426 Middlesboro Independent,117,386,128,120,162,125,163,206,171,110,97,18,1803
431 Monroe County,164,523,170,140,153,158,151,174,149,150,139,0,2071
