,,,,Kentucky Department of Education ,,,,,,,,,
37515,,,,2001-2002 End of Year,,,,,,,,,
,,,,Enrollment By District and Grade,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DISTRICT,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
001 Adair County,189,617,208,203,187,214,193,249,232,188,167,64,2711
005 Allen County,224,724,215,269,260,267,244,249,231,230,192,0,3105
006 Anchorage Independent,43,135,62,54,57,54,41,0,0,0,0,0,446
011 Anderson County,256,877,290,297,276,269,274,309,252,243,196,0,3539
012 Ashland Independent,232,738,253,287,248,265,286,308,300,224,227,21,3389
013 Augusta Independent,26,67,24,19,21,21,19,23,29,18,26,0,293
015 Ballard County,104,327,100,111,106,102,124,121,111,81,99,0,1386
016 Barbourville Independent,49,158,48,56,64,53,52,71,66,50,37,0,704
017 Bardstown Independent,184,495,157,152,159,140,151,136,142,134,122,16,1988
021 Barren County,303,994,325,279,338,298,315,351,343,290,213,0,4049
025 Bath County,141,469,166,182,158,159,177,150,133,125,116,16,1992
026 Beechwood Independent,64,196,81,78,81,79,77,93,88,76,77,29,1019
031 Bell County,196,715,244,243,239,234,279,286,289,203,204,0,3132
032 Bellevue Independent,71,231,79,61,87,105,79,75,61,56,51,0,956
034 Berea Independent,87,251,80,73,84,90,97,101,93,71,62,13,1102
035 Boone County,974,3450,1146,1116,1202,1113,1009,1257,1005,1000,734,0,14006
041 Bourbon County,196,642,203,223,214,230,214,218,236,201,195,16,2788
042 Bowling Green Independent,291,826,289,279,307,286,275,329,289,245,239,0,3655
045 Boyd County,274,803,255,263,273,296,250,291,306,317,200,40,3568
051 Boyle County,191,606,229,216,211,250,183,260,224,205,202,0,2777
055 Bracken County,91,260,103,102,84,103,92,115,97,92,89,4,1232
061 Breathitt County,156,503,184,192,176,191,175,257,220,186,119,0,2359
065 Breckinridge County,190,601,207,196,193,234,223,243,232,223,206,0,2748
071 Bullitt County,774,2708,912,887,972,842,772,877,833,745,652,20,10994
072 Burgin Independent,28,92,42,27,41,33,35,31,27,22,15,0,393
075 Butler County,165,521,161,195,166,189,194,179,196,163,140,23,2292
081 Caldwell County,132,487,155,158,173,167,162,174,170,146,140,13,2077
085 Calloway County,193,659,220,224,234,245,253,264,257,217,236,21,3023
091 Campbell County,359,996,336,339,389,363,366,446,397,374,323,0,4688
092 Campbellsville Independent,112,284,97,121,88,90,110,112,93,95,83,0,1285
095 Carlisle County,57,200,71,69,79,61,66,71,64,64,52,3,857
101 Carroll County,148,430,156,154,152,165,135,145,112,126,131,1,1855
105 Carter County,368,1208,364,414,438,368,372,365,321,317,256,72,4863
111 Casey County,187,594,197,182,191,212,190,206,202,179,120,0,2460
113 Caverna Independent,56,199,55,66,59,55,63,63,72,55,48,6,797
115 Christian County,846,2475,780,753,741,738,713,785,718,559,480,68,9656
121 Clark County,385,1287,409,422,422,450,383,488,406,337,314,40,5343
125 Clay County,335,981,331,360,340,331,314,405,294,210,181,53,4135
131 Clinton County,146,381,124,122,126,131,109,145,109,71,83,0,1547
132 Cloverport Independent,33,71,19,18,21,21,17,28,20,18,20,0,286
133 Corbin Independent,144,449,159,161,152,179,185,200,172,177,167,16,2161
134 Covington Independent,402,1255,406,400,328,383,355,409,283,227,221,116,4785
135 Crittenden County,107,305,103,104,118,117,119,95,108,112,95,0,1383
141 Cumberland County,101,274,86,99,103,101,103,78,70,95,79,0,1189
143 Danville Independent,153,437,143,156,164,131,143,137,140,111,110,79,1904
145 Daviess County,804,2288,722,751,831,799,778,927,827,772,785,191,10475
146 Dawson Springs Independent,42,197,44,60,68,53,53,69,66,41,42,0,735
147 Dayton Independent,78,284,87,91,95,95,83,113,74,56,56,4,1116
149 East Bernstadt Independent,62,167,54,51,58,46,53,0,0,0,0,0,491
151 Edmonson County,149,465,147,149,155,172,168,169,150,158,105,13,2000
152 Elizabethtown Independent,169,499,173,189,158,164,172,237,173,204,144,0,2282
155 Elliott County,94,284,98,100,96,101,81,118,76,89,66,18,1221
156 Eminence Independent,56,140,55,37,41,36,34,41,33,21,22,0,516
157 Erlanger-Elsmere Independent,145,620,181,185,191,170,173,193,155,133,131,0,2277
161 Estill County,190,652,234,222,203,209,211,216,194,161,166,9,2667
162 Fairview Independent,36,150,43,70,45,69,53,61,48,49,39,0,663
165 Fayette County,2565,8308,2784,2662,2797,2720,2540,2900,2494,2045,1831,0,33646
171 Fleming County,191,582,201,197,169,210,204,233,175,167,132,4,2465
175 Floyd County,546,1640,496,581,539,529,571,687,566,497,457,87,7196
176 Fort Thomas Independent,141,451,175,183,195,191,198,205,210,195,195,0,2339
177 Frankfort Independent,55,188,74,65,70,60,60,107,83,90,83,0,935
181 Franklin County,463,1406,484,509,433,442,451,570,444,414,356,0,5972
185 Fulton County,53,163,60,82,71,80,74,76,58,65,50,4,836
186 Fulton Independent,44,119,51,40,35,44,36,48,36,45,55,0,553
