,,,,,Kentucky Department of Education ,,,,,,,,,
38632.00,,,,,2004-2005 End of Year Enrollment,,,,,,,,,
,,,,,,,,,,,,,,
,Enrollment By District and Grade,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
District #,District,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
1.00,Adair County,214,603,216,189,218,221,237,257,232,189,165,5,2746
,,,,,,,,,,,,,,
5.00,Allen County,226,679,221,242,250,222,286,261,250,234,189,16,3076
,,,,,,,,,,,,,,
6.00,Anchorage Independent,49,127,45,48,55,61,50,0,0,0,0,0,435
,,,,,,,,,,,,,,
11.00,Anderson County,250,870,282,293,326,294,324,315,269,264,244,0,3731
,,,,,,,,,,,,,,
12.00,Ashland Independent,242,738,263,259,250,262,279,288,276,253,215,34,3359
,,,,,,,,,,,,,,
13.00,Augusta Independent,16,64,20,21,21,24,22,27,25,20,18,0,278
,,,,,,,,,,,,,,
15.00,Ballard County,107,333,93,105,104,107,116,119,114,100,97,4,1399
,,,,,,,,,,,,,,
16.00,Barbourville Independent,53,156,46,53,49,49,52,62,34,40,52,0,646
,,,,,,,,,,,,,,
17.00,Bardstown Independent,215,588,160,161,144,172,152,169,128,134,88,13,2124
,,,,,,,,,,,,,,
21.00,Barren County,306,989,342,356,322,332,295,426,324,273,238,0,4203
,,,,,,,,,,,,,,
25.00,Bath County,174,456,160,153,163,159,195,160,145,141,81,11,1998
,,,,,,,,,,,,,,
26.00,Beechwood Independent,73,230,74,73,66,80,76,85,77,83,85,25,1027
,,,,,,,,,,,,,,
31.00,Bell County,211,706,246,240,272,260,275,290,252,226,182,0,3160
,,,,,,,,,,,,,,
32.00,Bellevue Independent,63,202,61,60,59,76,53,105,63,71,58,0,871
,,,,,,,,,,,,,,
34.00,Berea Independent,108,252,84,100,84,76,79,91,83,82,77,9,1125
,,,,,,,,,,,,,,
35.00,Boone County,1338,4039,1291,1239,1319,1304,1313,1433,1280,989,935,0,16480
,,,,,,,,,,,,,,
41.00,Bourbon County,207,626,215,198,203,199,227,248,233,180,170,0,2706
,,,,,,,,,,,,,,
42.00,Bowling Green Independent,294,907,280,272,248,288,292,376,307,264,208,6,3742
,,,,,,,,,,,,,,
45.00,Boyd County,241,791,239,267,270,231,257,290,350,281,224,53,3494
,,,,,,,,,,,,,,
51.00,Boyle County,179,562,217,228,206,264,240,275,219,176,216,3,2785
,,,,,,,,,,,,,,
55.00,Bracken County,95,277,82,84,105,113,96,114,104,96,81,7,1254
,,,,,,,,,,,,,,
61.00,Breathitt County,173,452,164,189,165,182,192,277,221,176,182,0,2373
,,,,,,,,,,,,,,
65.00,Breckinridge County,204,587,213,187,208,212,208,215,221,224,193,12,2684
,,,,,,,,,,,,,,
71.00,Bullitt County,831,2696,928,933,1053,996,960,1051,841,724,706,3,11722
,,,,,,,,,,,,,,
72.00,Burgin Independent,26,105,34,43,33,40,34,44,33,39,20,0,451
,,,,,,,,,,,,,,
75.00,Butler County,170,510,148,161,138,158,201,209,197,173,141,10,2216
,,,,,,,,,,,,,,
81.00,Caldwell County,120,470,173,175,144,154,173,191,166,156,142,17,2081
,,,,,,,,,,,,,,
85.00,Calloway County,199,612,207,221,253,246,226,239,230,228,244,10,2915
,,,,,,,,,,,,,,
91.00,Campbell County,391,1028,349,309,347,357,380,503,335,364,347,0,4710
,,,,,,,,,,,,,,
92.00,Campbellsville Independent,107,291,75,101,92,90,122,89,87,96,96,0,1246
,,,,,,,,,,,,,,
95.00,Carlisle County,67,167,71,51,82,64,69,91,59,50,50,3,824
,,,,,,,,,,,,,,
101.00,Carroll County,151,425,134,145,166,161,165,179,153,108,118,4,1909
,,,,,,,,,,,,,,
105.00,Carter County,400,1149,373,398,413,371,404,461,341,330,264,67,4971
,,,,,,,,,,,,,,
111.00,Casey County,190,551,174,195,220,200,182,208,189,165,161,0,2435
,,,,,,,,,,,,,,
113.00,Caverna Independent,72,164,66,61,80,59,69,71,47,57,51,10,807
,,,,,,,,,,,,,,
115.00,Christian County,847,2484,737,731,774,759,680,784,717,566,451,68,9598
,,,,,,,,,,,,,,
121.00,Clark County,433,1252,426,444,410,434,455,431,452,382,333,34,5486
,,,,,,,,,,,,,,
125.00,Clay County,306,901,301,302,306,307,338,388,302,237,232,57,3977
,,,,,,,,,,,,,,
131.00,Clinton County,153,402,106,119,123,122,132,142,134,100,91,5,1629
,,,,,,,,,,,,,,
132.00,Cloverport Independent,28,89,22,22,18,17,26,19,27,18,20,0,306
,,,,,,,,,,,,,,
133.00,Corbin Independent,174,500,158,161,160,200,204,184,209,182,157,12,2301
,,,,,,,,,,,,,,
134.00,Covington Independent,421,1088,334,305,320,325,354,346,281,221,199,72,4266
,,,,,,,,,,,,,,
135.00,Crittenden County,101,296,93,100,122,116,108,127,92,102,85,0,1342
,,,,,,,,,,,,,,
141.00,Cumberland County,81,243,86,84,98,86,101,113,96,82,61,0,1131
,,,,,,,,,,,,,,
143.00,Danville Independent,126,419,145,153,140,147,147,169,150,120,97,11,1824
,,,,,,,,,,,,,,
145.00,Daviess County,943,2529,797,791,773,824,830,948,845,784,805,215,11084
,,,,,,,,,,,,,,
146.00,Dawson Springs Independent,53,161,62,53,58,50,49,64,44,49,40,0,683
,,,,,,,,,,,,,,
147.00,Dayton Independent,100,252,94,81,72,89,89,108,79,80,53,4,1101
,,,,,,,,,,,,,,
149.00,East Bernstadt Independent,65,183,57,53,59,46,41,0,0,0,0,0,504
,,,,,,,,,,,,,,
151.00,Edmonson County,156,440,161,157,163,148,155,168,170,141,209,22,2090
,,,,,,,,,,,,,,
152.00,Elizabethtown Independent,167,536,170,175,170,177,196,227,176,183,169,0,2346
,,,,,,,,,,,,,,
155.00,Elliott County,96,267,85,101,94,97,93,100,86,73,89,19,1200
,,,,,,,,,,,,,,
156.00,Eminence Independent,47,131,44,50,47,39,36,36,33,25,235,0,723
,,,,,,,,,,,,,,
157.00,Erlanger-Elsmere Independent,193,574,168,188,190,186,187,201,179,136,125,0,2327
,,,,,,,,,,,,,,
161.00,Estill County,220,563,185,197,201,233,205,215,203,152,129,34,2537
,,,,,,,,,,,,,,
162.00,Fairview Independent,56,146,51,61,56,70,77,63,69,70,60,0,779
,,,,,,,,,,,,,,
165.00,Fayette County,2775,8468,2630,2729,2873,2746,2650,3152,2502,2225,1938,0,34688
,,,,,,,,,,,,,,
171.00,Fleming County,169,557,193,196,205,219,202,219,210,188,159,0,2517
,,,,,,,,,,,,,,
175.00,Floyd County,497,1588,493,522,482,505,584,621,500,492,434,0,6718
,,,,,,,,,,,,,,
176.00,Fort Thomas Independent,163,501,134,149,173,189,195,226,200,197,195,0,2322
,,,,,,,,,,,,,,
177.00,Frankfort Independent,51,160,59,51,70,74,74,102,91,93,90,0,915
,,,,,,,,,,,,,,
181.00,Franklin County,480,1401,471,428,433,488,502,535,439,393,325,0,5895
,,,,,,,,,,,,,,
185.00,Fulton County,46,143,60,49,41,69,78,73,67,45,54,4,729
,,,,,,,,,,,,,,
186.00,Fulton Independent,48,100,39,29,37,37,39,44,34,35,38,0,480
,,,,,,,,,,,,,,
191.00,Gallatin County,133,351,147,124,129,115,121,178,96,98,68,0,1560
,,,,,,,,,,,,,,
195.00,Garrard County,200,572,193,209,209,208,221,249,195,157,125,0,2538
,,,,,,,,,,,,,,
197.00,Glasgow Independent,154,480,156,161,151,174,158,171,149,114,128,3,1999
,,,,,,,,,,,,,,
201.00,Grant County,301,893,293,285,306,310,342,332,288,271,219,35,3875
,,,,,,,,,,,,,,
205.00,Graves County,344,1115,346,350,355,340,360,458,391,290,277,0,4626
,,,,,,,,,,,,,,
211.00,Grayson County,292,991,339,327,330,336,333,374,299,314,257,30,4222
,,,,,,,,,,,,,,
215.00,Green County,123,353,129,151,116,137,126,138,146,130,116,0,1665
,,,,,,,,,,,,,,
221.00,Greenup County,259,726,227,258,277,275,263,315,232,201,194,0,3227
,,,,,,,,,,,,,,
