					Kentucky Department of Education 									
10/7/2005					2004-2005 End of Year Enrollment									
														
	Enrollment By District and Grade													
														
District #	District	EL	P	4	5	6	7	8	9	10	11	12	EC	TOTAL
														
001	Adair County	214	603	216	189	218	221	237	257	232	189	165	5	"2,746"
														
005	Allen County	226	679	221	242	250	222	286	261	250	234	189	16	"3,076"
														
006	Anchorage Independent	49	127	45	48	55	61	50	0	0	0	0	0	435
														
011	Anderson County	250	870	282	293	326	294	324	315	269	264	244	0	"3,731"
														
012	Ashland Independent	242	738	263	259	250	262	279	288	276	253	215	34	"3,359"
														
013	Augusta Independent	16	64	20	21	21	24	22	27	25	20	18	0	278
														
015	Ballard County	107	333	93	105	104	107	116	119	114	100	97	4	"1,399"
														
016	Barbourville Independent	53	156	46	53	49	49	52	62	34	40	52	0	646
														
017	Bardstown Independent	215	588	160	161	144	172	152	169	128	134	88	13	"2,124"
														
021	Barren County	306	989	342	356	322	332	295	426	324	273	238	0	"4,203"
														
025	Bath County	174	456	160	153	163	159	195	160	145	141	81	11	"1,998"
														
026	Beechwood Independent	73	230	74	73	66	80	76	85	77	83	85	25	"1,027"
														
031	Bell County	211	706	246	240	272	260	275	290	252	226	182	0	"3,160"
														
032	Bellevue Independent	63	202	61	60	59	76	53	105	63	71	58	0	871
														
034	Berea Independent	108	252	84	100	84	76	79	91	83	82	77	9	"1,125"
														
035	Boone County	"1,338"	"4,039"	"1,291"	"1,239"	"1,319"	"1,304"	"1,313"	"1,433"	"1,280"	989	935	0	"16,480"
														
041	Bourbon County	207	626	215	198	203	199	227	248	233	180	170	0	"2,706"
														
042	Bowling Green Independent	294	907	280	272	248	288	292	376	307	264	208	6	"3,742"
														
045	Boyd County	241	791	239	267	270	231	257	290	350	281	224	53	"3,494"
														
051	Boyle County	179	562	217	228	206	264	240	275	219	176	216	3	"2,785"
														
055	Bracken County	95	277	82	84	105	113	96	114	104	96	81	7	"1,254"
														
061	Breathitt County	173	452	164	189	165	182	192	277	221	176	182	0	"2,373"
														
065	Breckinridge County	204	587	213	187	208	212	208	215	221	224	193	12	"2,684"
														
