40060,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 08-09,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,*EL,1,2,3,4,5,6,7,8,9,10,11,12,*EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,198,214,201,199,0,812
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,0,0,2,3,25,38,19,15,0,102
001-Adair County                                                                                    ,013-John Adair Intermediate School                                                                  ,0,0,0,127,122,122,0,0,0,0,0,0,0,0,371
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,0,200,206,0,0,0,0,0,406
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,61,68,62,73,63,71,176,0,0,0,0,0,0,0,574
001-Adair County                                                                                    ,095-Colonel William Casey Elementary                                                                ,138,128,113,0,0,0,0,0,0,0,0,0,0,0,379
TOTALS for Adair County                                                                             ,                                                                                                    ,199,196,175,200,185,193,176,202,209,223,252,220,214,0,2644
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,241,214,245,260,0,0,0,0,0,0,0,0,0,0,960
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,219,223,0,0,0,0,0,442
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,284,272,234,244,0,1034
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,232,243,233,0,0,0,0,0,0,0,708
TOTALS for Allen County                                                                             ,                                                                                                    ,241,214,245,260,232,243,233,219,223,284,272,234,244,0,3144
006-Anchorage Independent                                                                           ,010-Anchorage Public Elementary School                                                              ,38,31,38,47,53,43,49,47,48,0,0,0,0,0,394
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,38,31,38,47,53,43,49,47,48,0,0,0,0,0,394
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,0,348,326,301,299,4,1278
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,0,92,80,93,80,110,0,0,0,0,0,0,0,0,455
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,0,315,332,299,0,0,0,0,0,946
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,94,84,95,109,63,0,0,0,0,0,0,0,0,445
011-Anderson County                                                                                 ,110-Emma B Ward Elementary                                                                          ,0,87,112,104,109,103,0,0,0,0,0,0,0,0,515
011-Anderson County                                                                                 ,120-Anderson Co Early Childhood Elementary                                                          ,280,0,0,0,0,0,0,0,0,0,0,0,0,0,280
TOTALS for Anderson County                                                                          ,                                                                                                    ,280,273,276,292,298,276,315,332,299,348,326,301,299,4,3919
012-Ashland Independent                                                                             ,010-Paul G Blazer High School                                                                       ,0,0,0,0,0,0,0,0,0,272,239,253,234,0,998
012-Ashland Independent                                                                             ,011-Ashland Central Alternative School                                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012-Ashland Independent                                                                             ,050-George M Verity Middle School                                                                   ,0,0,0,0,0,0,0,226,263,0,0,0,0,0,489
012-Ashland Independent                                                                             ,070-Crabbe Elementary School                                                                        ,47,42,44,35,31,35,31,0,0,0,0,0,0,0,265
012-Ashland Independent                                                                             ,080-Hager Elementary School                                                                         ,38,49,54,36,50,46,37,0,0,0,0,0,0,0,310
012-Ashland Independent                                                                             ,090-Hatcher Elementary                                                                              ,38,24,27,25,28,32,30,0,0,0,0,0,0,0,204
012-Ashland Independent                                                                             ,100-Oakview Elementary School                                                                       ,71,54,63,64,67,75,61,0,0,0,0,0,0,0,455
012-Ashland Independent                                                                             ,110-Poage Elementary School                                                                         ,29,30,27,24,27,29,23,0,0,0,0,0,0,0,189
012-Ashland Independent                                                                             ,130-Charles Russell Elementary School                                                               ,49,47,46,50,42,45,41,0,0,0,0,0,0,0,320
TOTALS for Ashland Independent                                                                      ,                                                                                                    ,272,246,261,234,245,262,223,226,263,272,239,253,234,0,3230
