40757,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 10-11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,200,207,183,187,2,779
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,0,0,3,4,10,16,17,13,0,63
001-Adair County                                                                                    ,013-John Adair Intermediate School                                                                  ,0,0,0,120,109,122,0,0,0,0,0,0,0,0,351
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,0,208,189,0,0,0,0,0,397
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,76,59,70,67,62,67,203,0,0,0,0,0,0,0,604
001-Adair County                                                                                    ,095-Colonel William Casey Elementary                                                                ,156,128,136,0,0,0,0,0,0,0,0,0,0,0,420
TOTALS for Adair County                                                                             ,                                                                                                    ,232,187,206,187,171,189,203,211,193,210,223,200,200,2,2614
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,242,211,244,227,0,0,0,0,0,0,0,0,0,0,924
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,238,223,0,0,0,0,0,461
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,233,230,239,222,0,924
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,240,254,232,0,0,0,0,0,0,0,726
TOTALS for Allen County                                                                             ,                                                                                                    ,242,211,244,227,240,254,232,238,223,233,230,239,222,0,3035
006-Anchorage Independent                                                                           ,010-Anchorage Independent Public School                                                             ,30,37,39,36,36,45,50,42,45,0,0,0,0,0,360
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,30,37,39,36,36,45,50,42,45,0,0,0,0,0,360
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,1,368,301,294,287,3,1254
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,0,108,96,89,83,107,0,0,0,0,0,0,0,0,483
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,1,297,280,323,0,0,0,0,0,901
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,117,97,86,92,89,0,0,0,0,0,0,0,0,481
011-Anderson County                                                                                 ,110-Emma B. Ward Elementary School                                                                  ,0,114,107,66,109,99,0,0,0,0,0,0,0,0,495
011-Anderson County                                                                                 ,120-Anderson County Early Childhood Center                                                          ,280,0,0,0,0,0,0,0,0,0,0,0,0,0,280
TOTALS for Anderson County                                                                          ,                                                                                                    ,280,339,300,241,284,296,297,280,324,368,301,294,287,3,3894
012-Ashland Independent                                                                             ,010-Paul G. Blazer High School                                                                      ,0,0,0,0,0,0,0,0,0,256,258,260,218,0,992
012-Ashland Independent                                                                             ,011-Ashland Central School                                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012-Ashland Independent                                                                             ,050-George M. Verity Middle School                                                                  ,0,0,0,0,0,0,0,258,232,0,0,0,0,0,490
012-Ashland Independent                                                                             ,070-Crabbe Elementary School                                                                        ,61,70,63,55,52,43,39,0,0,0,0,0,0,0,383
012-Ashland Independent                                                                             ,080-Hager Elementary School                                                                         ,48,48,48,49,52,41,53,0,0,0,0,0,0,0,339
012-Ashland Independent                                                                             ,100-Oakview Elementary School                                                                       ,48,72,71,50,78,63,80,0,0,0,0,0,0,0,462
012-Ashland Independent                                                                             ,110-Poage Elementary School                                                                         ,49,43,32,31,29,27,33,0,0,0,0,0,0,0,244
012-Ashland Independent                                                                             ,130-Charles Russell Elementary School                                                               ,50,62,41,36,50,46,36,0,0,0,0,0,0,0,321
TOTALS for Ashland Independent                                                                      ,                                                                                                    ,256,295,255,221,261,220,241,258,232,256,258,260,218,0,3231
013-Augusta Independent                                                                             ,011-Augusta Independent School                                                                      ,24,16,22,19,22,19,18,17,27,37,28,26,30,0,305
TOTALS for Augusta Independent                                                                      ,                                                                                                    ,24,16,22,19,22,19,18,17,27,37,28,26,30,0,305
015-Ballard County                                                                                  ,005-Ballard County Middle School                                                                    ,0,0,0,0,0,0,122,105,122,0,0,0,0,0,349
015-Ballard County                                                                                  ,010-Ballard Memorial High School                                                                    ,0,0,0,0,0,0,0,0,0,116,104,100,104,0,424
015-Ballard County                                                                                  ,050-Ballard County Elementary School                                                                ,93,105,109,102,114,104,0,0,0,0,0,0,0,0,627
TOTALS for Ballard County                                                                           ,                                                                                                    ,93,105,109,102,114,104,122,105,122,116,104,100,104,0,1400
016-Barbourville Independent                                                                        ,011-Barbourville City School                                                                        ,51,50,51,59,48,43,66,60,46,54,54,59,45,0,686
