7/30/2014,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 13-14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,182,208,171,193,1,755
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,0,0,3,0,5,16,27,19,0,70
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,186,203,214,0,0,0,0,0,603
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,0,0,0,196,184,220,0,0,0,0,0,0,0,0,600
001-Adair County                                                                                    ,020-Adair County Primary Center                                                                     ,221,235,191,0,0,0,0,0,0,0,0,0,0,0,647
TOTALS for Adair County                                                                             ,                                                                                                    ,221,235,191,196,184,220,186,206,214,187,224,198,212,1,2675
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,238,249,248,221,0,0,0,0,0,0,0,0,0,0,956
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,247,262,0,0,0,0,0,509
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,227,222,209,176,2,836
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,198,252,221,0,0,0,0,0,0,0,671
TOTALS for Allen County                                                                             ,                                                                                                    ,238,249,248,221,198,252,221,247,262,227,222,209,176,2,2972
006-Anchorage Independent                                                                           ,010-Anchorage Independent Public School                                                             ,37,32,48,32,53,46,41,41,37,0,0,0,0,0,367
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,37,32,48,32,53,46,41,41,37,0,0,0,0,0,367
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,2,321,270,307,286,1,1187
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,85,101,90,100,98,102,0,0,0,0,0,0,0,0,576
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,2,251,282,299,0,0,0,0,0,834
011-Anderson County                                                                                 ,030-Phoenix Academy                                                                                 ,0,0,0,0,0,0,0,0,5,2,6,4,7,0,24
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,105,102,87,105,73,0,0,0,0,0,0,0,0,472
011-Anderson County                                                                                 ,110-Emma B. Ward Elementary School                                                                  ,0,108,99,89,104,105,0,0,0,0,0,0,0,0,505
011-Anderson County                                                                                 ,120-Ezra Sparrow Early Childhood Center                                                             ,203,0,0,0,0,0,0,0,0,0,0,0,0,0,203
TOTALS for Anderson County                                                                          ,                                                                                                    ,288,314,291,276,307,282,251,282,306,323,276,311,293,1,3801
