"","DISTRICT","PCT.CH.POV.5.17.2003","PCT.CH.POV.5.17.2004","PCT.CH.POV.5.17.2005","PCT.CH.POV.5.17.2006","PCT.CH.POV.5.17.2007","PCT.CH.POV.5.17.2008","PCT.CH.POV.5.17.2009","PCT.CH.POV.5.17.2010","PCT.CH.POV.5.17.2011","PCT.CH.POV.5.17.2012","PCT.CH.POV.5.17.2013"
"1","Adair County",0.2708,0.2573,0.3081,0.2894,"0.2735","0.2829",0.3011,0.3086,0.32,0.351,0.351
"2","Allen County",0.1905,0.2088,0.222,0.2219,"0.2359","0.2313",0.245,0.2635,0.2676,0.273,0.273
"3","Anchorage Independent",0.0162,0.0178,0.0305,0.0188,"0.0261","0.0188",0.0358,0.0755,0.1076,0.0988,0.0988
"4","Anderson County",0.1134,0.1054,0.1014,0.1093,"0.1019","0.1091",0.1394,0.1545,0.1517,0.1622,0.1622
"5","Ashland Independent",0.2615,0.2625,0.2472,0.2684,"0.2483","0.2536",0.3233,0.2592,0.2605,0.2682,0.2682
"6","Augusta Independent",0.2243,0.2095,0.2109,0.2381,"0.2812","0.264",0.3243,0.289,0.3992,0.2452,0.2452
"7","Ballard County",0.1917,0.1767,0.1953,0.1984,"0.2188","0.1965",0.2034,0.1944,0.2158,0.225,0.225
"8","Barbourville Independent",0.3428,0.3302,0.4165,0.4145,"0.3886","0.4005",0.404,0.4391,0.3742,0.4004,0.4004
"9","Bardstown Independent",0.2285,0.2291,0.2355,0.2244,"0.2091","0.2308",0.2643,0.2705,0.278,0.3043,0.3043
"10","Barren County",0.1554,0.1534,0.1938,0.1717,"0.1751","0.1765",0.2077,0.223,0.2382,0.2311,0.2311
"11","Bath County",0.2706,0.2573,0.3033,0.2899,"0.323","0.3381",0.3559,0.3439,0.3538,0.3284,0.3284
"12","Beechwood Independent",0.0141,0.0141,0.0486,0.0359,"0.0486","0.0485",0.058,0.064,0.0875,0.0917,0.0917
"13","Bell County",0.3546,0.3468,0.4022,0.3804,"0.3514","0.3609",0.4886,0.3396,0.4169,0.4078,0.4078
"14","Bellevue Independent",0.177,0.1725,0.2118,0.1885,"0.1531","0.1811",0.1855,0.1914,0.2027,0.2211,0.2211
"15","Berea Independent",0.2183,0.212,0.2274,0.2189,"0.2305","0.1865",0.2553,0.2764,0.3059,0.2837,0.2837
"16","Boone County",0.0809,0.0824,0.0828,0.0699,"0.071","0.0685",0.0898,0.0975,0.1039,0.1082,0.1082
"17","Bourbon County",0.1559,0.1472,0.1956,0.1664,"0.1696","0.1659",0.1792,0.1969,0.2279,0.2126,0.2126
"18","Bowling Green Independent",0.2834,0.2764,0.2719,0.2859,"0.3224","0.2783",0.3115,0.3839,0.3632,0.3428,0.3428
"19","Boyd County",0.1633,0.1642,0.1755,0.1877,"0.1657","0.1656",0.2083,0.2329,0.2057,0.1933,0.1933
