"SCH_YEAR","DISTRICT","Grad.w.Diploma.in.4.years.2012.KDE"
"16",20122013,"Adair County","177"
"46",20122013,"Allen County","191"
"76",20122013,"Anderson County","273"
"106",20122013,"Ashland Independent","218"
"136",20122013,"Augusta Independent","25"
"166",20122013,"Ballard County","85"
"196",20122013,"Barbourville Independent","40"
"226",20122013,"Bardstown Independent","125"
"256",20122013,"Barren County","340"
"286",20122013,"Bath County","139"
"316",20122013,"Beechwood Independent","85"
"346",20122013,"Bell County","176"
"376",20122013,"Bellevue Independent","48"
"406",20122013,"Berea Independent","69"
"481",20122013,"Boone County","1207"
"511",20122013,"Bourbon County","210"
"541",20122013,"Bowling Green Independent","247"
"571",20122013,"Boyd County","211"
"601",20122013,"Boyle County","206"
"631",20122013,"Bracken County","71"
"661",20122013,"Breathitt County","148"
"691",20122013,"Breckinridge County","215"
"751",20122013,"Bullitt County","826"
"781",20122013,"Burgin Independent","28"
"811",20122013,"Butler County","127"
"841",20122013,"Caldwell County","128"
"871",20122013,"Calloway County","227"
"901",20122013,"Campbell County","359"
"931",20122013,"Campbellsville Independent","45"
"961",20122013,"Carlisle County","62"
"991",20122013,"Carroll County","129"
"1036",20122013,"Carter County","314"
"1066",20122013,"Casey County","152"
"1096",20122013,"Caverna Independent","48"
"1141",20122013,"Christian County","479"
"1171",20122013,"Clark County","371"
"1201",20122013,"Clay County","204"
"1231",20122013,"Clinton County","89"
"1261",20122013,"Cloverport Independent","16"
"1291",20122013,"Corbin Independent","202"
"1321",20122013,"Covington Independent","171"
"1351",20122013,"Crittenden County","66"
"1381",20122013,"Cumberland County","79"
"1411",20122013,"Danville Independent","124"
"1456",20122013,"Daviess County","659"
"1486",20122013,"Dawson Springs Independent","62"
"1516",20122013,"Dayton Independent","51"
"1546",20122013,"Edmonson County","150"
"1576",20122013,"Elizabethtown Independent","174"
"1606",20122013,"Elliott County","65"
"1636",20122013,"Eminence Independent","31"
"1666",20122013,"Erlanger-Elsmere Independent","122"
"1696",20122013,"Estill County","155"
"1726",20122013,"Fairview Independent","66"
"1816",20122013,"Fayette County","2190"
"1846",20122013,"Fleming County","162"
"1921",20122013,"Floyd County","400"
"1951",20122013,"Fort Thomas Independent","179"
"1981",20122013,"Frankfort Independent","59"
"2026",20122013,"Franklin County","409"
"2056",20122013,"Fulton County","43"
"2086",20122013,"Fulton Independent","29"
"2116",20122013,"Gallatin County","109"
"2146",20122013,"Garrard County","159"
"2176",20122013,"Glasgow Independent","119"
"2206",20122013,"Grant County","247"
"2236",20122013,"Graves County","318"
"2266",20122013,"Grayson County","303"
"2296",20122013,"Green County","115"
"2326",20122013,"Greenup County","178"
"2356",20122013,"Hancock County","105"
"2416",20122013,"Hardin County","1010"
