"DISTRICT","Year","Tot.Enrollment.saar","Tot.Enrollment.elsi","FRD.Lunch.Pct","FRD.Decile","Gr.8.Cohort.KDE","Gr.9.Cohort.KDE","Gr.12.Gr.8.ratio.KDE","Gr.12.Gr.9.ratio.KDE","School.Dist.Child.Poverty.Pct","School.Dist.Child.Poverty.Decile"
"1","Adair County",2012,2602,NA,0.657587548638132,"D06",0.863414634146341,0.79372197309417,0.970731707317073,0.89237668161435,0.351,"D08"
"2","Allen County",2012,2989,NA,0.606792717086835,"D05",0.712686567164179,0.672535211267606,0.75,0.707746478873239,0.273,"D05"
"3","Anderson County",2012,3806,NA,0.462586851950828,"D02",0.883495145631068,0.78448275862069,0.877022653721683,0.778735632183908,0.1622,"D01"
"4","Ashland Independent",2012,3183,NA,0.560515873015873,"D04",0.792727272727273,0.801470588235294,0.807272727272727,0.816176470588235,0.2682,"D05"
"5","Augusta Independent",2012,298,NA,0.690140845070423,"D07",1.04166666666667,1.04166666666667,1,1,0.2452,"D04"
"6","Ballard County",2012,1345,NA,0.569136745607334,"D04",0.833333333333333,0.787037037037037,0.901960784313726,0.851851851851852,0.225,"D03"
"7","Barbourville Independent",2012,654,NA,0.6546875,"D06",0.677966101694915,0.655737704918033,0.661016949152542,0.639344262295082,0.4004,"D09"
"8","Bardstown Independent",2012,2553,NA,0.632828489562014,"D06",0.654450261780105,0.621890547263682,0.680628272251309,0.646766169154229,0.3043,"D06"
"9","Barren County",2012,4884,NA,0.54539775093711,"D03",0.885416666666667,0.805687203791469,0.9453125,0.860189573459716,0.2311,"D03"
"10","Bath County",2012,2110,NA,0.703471552555448,"D08",0.874213836477987,0.842424242424242,0.924528301886792,0.890909090909091,0.3284,"D07"
"11","Beechwood Independent",2012,1211,NA,0.1669449081803,"D01",1.03658536585366,0.913978494623656,1.02439024390244,0.903225806451613,0.0917,"D01"
"12","Bell County",2012,3010,NA,0.780360860513532,"D10",0.736401673640167,0.661654135338346,0.836820083682008,0.75187969924812,0.4078,"D10"
"13","Bellevue Independent",2012,783,NA,0.789904502046385,"D10",0.774193548387097,0.64,0.82258064516129,0.68,0.2211,"D03"
"14","Berea Independent",2012,1100,NA,0.583639705882353,"D04",0.696969696969697,0.594827586206897,0.676767676767677,0.577586206896552,0.2837,"D06"
"15","Boone County",2012,20036,NA,0.355269284494801,"D01",0.916476841305998,0.856635911994322,0.939255884586181,0.877927608232789,0.1082,"D01"
"16","Bourbon County",2012,2729,NA,0.568848758465011,"D04",0.958904109589041,0.774907749077491,0.926940639269406,0.749077490774908,0.2126,"D03"
"17","Bowling Green Independent",2012,4121,NA,0.530779054916986,"D03",0.799352750809062,0.680440771349862,0.84789644012945,0.721763085399449,0.3428,"D08"
"18","Boyd County",2012,3349,NA,0.537831021437579,"D03",0.821011673151751,0.767272727272727,0.844357976653696,0.789090909090909,0.1933,"D02"
"19","Boyle County",2012,2692,NA,0.459355828220859,"D02",0.895652173913044,0.88034188034188,0.947826086956522,0.931623931623932,0.1796,"D01"
"20","Bracken County",2012,1221,NA,0.596314907872697,"D05",0.747368421052632,0.75531914893617,0.768421052631579,0.776595744680851,0.2394,"D04"
"21","Breathitt County",2012,2286,NA,0.729213993639255,"D09",0.675799086757991,0.564885496183206,0.817351598173516,0.683206106870229,0.3838,"D09"
"22","Breckinridge County",2012,2757,NA,0.637009345794393,"D06",1.06965174129353,0.986238532110092,1.12437810945274,1.03669724770642,0.2554,"D05"
"23","Bullitt County",2012,12982,NA,0.481021555763824,"D02",0.789674952198853,0.703577512776831,0.961759082217973,0.856899488926746,0.1381,"D01"
"24","Burgin Independent",2012,454,NA,0.421052631578947,"D01",0.7,0.595744680851064,0.8,0.680851063829787,0.2182,"D03"
"25","Butler County",2012,2157,NA,0.587234042553191,"D04",0.760479041916168,0.635,0.856287425149701,0.715,0.2658,"D05"
"26","Caldwell County",2012,1998,NA,0.567553992968358,"D04",0.748538011695906,0.673684210526316,0.824561403508772,0.742105263157895,0.2788,"D05"
"27","Calloway County",2012,3285,NA,0.579742765273312,"D04",0.900793650793651,0.908,0.972222222222222,0.98,0.2038,"D02"
"28","Campbell County",2012,4973,NA,0.406930898526665,"D01",1.04360465116279,0.838785046728972,1.09302325581395,0.878504672897196,0.1029,"D01"
"29","Campbellsville Independent",2012,1161,NA,0.716082659478886,"D08",0.535714285714286,0.483870967741935,0.619047619047619,0.559139784946237,0.4254,"D10"
"30","Carlisle County",2012,797,NA,0.543307086614173,"D03",1.24,1,1.32,1.06451612903226,0.2421,"D04"
